created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2025-03-20T19:04:09+01:00,1,643,23.74821,101824.1,25.15202,25.53575,,,,
2025-03-20T19:05:09+01:00,2,726,23.64473,101827.9,25.10109,25.51355,,,,
2025-03-20T19:06:10+01:00,3,581,23.76661,101828.8,25.07801,25.45455,,,,
2025-03-20T19:07:10+01:00,4,752,23.51751,101830.2,25.12207,25.50594,,,,
2025-03-20T19:08:11+01:00,5,579,23.64922,101834.0,25.20123,25.57064,,,,
2025-03-20T19:09:12+01:00,6,878,23.38552,101836.4,25.20504,25.59539,,,,
2025-03-20T19:10:12+01:00,7,601,23.59629,101834.4,25.18806,25.58904,,,,
2025-03-20T19:11:13+01:00,8,589,23.56844,101834.1,25.26569,25.66707,,,,
2025-03-20T19:12:13+01:00,9,778,23.54259,101834.9,25.33302,25.72607,,,,
2025-03-20T19:14:14+01:00,10,529,23.45028,101841.0,25.40588,25.81678,,,,
2025-03-20T19:15:15+01:00,11,439,23.32335,101840.7,25.40302,25.79014,,,,
2025-03-20T19:15:59+01:00,12,545,23.3983,101837.7,25.40874,25.81742,,,,
2025-03-20T19:22:58+01:00,13,714,23.01474,101847.5,25.66261,26.00773,,,,
2025-03-20T19:27:10+01:00,14,649,22.85013,101855.5,25.65346,26.05086,,,,
2025-03-20T19:28:11+01:00,15,710,22.92967,101857.9,25.66986,26.05023,,,,
2025-03-20T19:34:32+01:00,16,411,22.64328,101864.9,25.77057,26.15362,,,,
2025-03-20T19:34:52+01:00,17,378,22.63956,101862.0,25.87509,26.26653,,,,
2025-03-20T19:36:59+01:00,18,385,22.70622,101869.9,25.85945,26.23101,,,,
2025-03-20T19:38:44+01:00,19,379,22.68085,101870.3,25.84782,26.22657,,,,
2025-03-20T19:39:03+01:00,20,335,22.49317,101872.0,25.86288,26.24686,,,,
2025-03-20T19:40:03+01:00,21,340,22.37625,101873.3,25.83542,26.23481,,,,
2025-03-20T19:41:32+01:00,22,512,22.39447,101875.7,25.86765,26.24623,,,,
2025-03-20T19:41:48+01:00,23,375,22.46494,101871.1,25.90141,26.27224,,,,
2025-03-20T19:54:09+01:00,24,454,22.18161,101880.8,25.83504,26.22339,,,,
2025-03-20T20:24:45+01:00,25,368,30.03168,101826.9,22.68028,23.06025,,,,
2025-03-20T20:27:51+01:00,26,1612,33.32825,101826.8,23.0217,23.36492,,,,
2025-03-20T20:33:05+01:00,27,273,26.92299,101833.9,25.15011,25.53893,,,,
2025-03-20T20:39:17+01:00,28,234,25.6012,101838.7,26.48087,26.89127,,,,
2025-03-20T21:37:46+01:00,29,1317,27.14996,101906.7,26.58272,26.93313,,,,
2025-03-20T21:38:12+01:00,30,296,27.12755,101902.1,26.49345,26.86083,,,,
2025-03-20T21:39:35+01:00,31,223,26.54943,101900.9,26.04523,26.42637,,,,
2025-03-20T21:40:36+01:00,32,210,26.78061,101905.1,25.81501,26.21959,,,,
2025-03-20T21:41:36+01:00,33,203,26.99461,101902.1,25.47417,25.89481,,,,
2025-03-20T21:42:37+01:00,34,196,27.30637,101905.4,25.21992,25.63091,,,,
2025-03-20T21:50:41+01:00,35,198,29.19388,101910.9,24.08791,24.46855,,,,
2025-03-20T21:51:41+01:00,36,195,29.10852,101904.3,23.93303,24.36385,,,,
2025-03-20T21:52:42+01:00,37,191,29.08268,101908.5,23.89851,24.26866,,,,
